Date,Cargo
12/1/22,490
12/2/22,480
12/3/22,498
12/4/22,489
12/5/22,536
12/6/22,539
12/7/22,589
12/8/22,533
12/9/22,583
12/10/22,532
12/11/22,593
12/12/22,544
12/13/22,523
12/14/22,532
12/15/22,493
12/16/22,493
12/17/22,560
12/18/22,460
12/19/22,550
12/20/22,433
12/21/22,564
12/22/22,534
12/23/22,444
12/24/22,455
12/25/22,509
12/26/22,560
12/27/22,593
12/28/22,555
12/29/22,456
12/30/22,509
12/31/22,
1/1/23,
1/2/23,600
1/3/23,490
1/4/23,450
1/5/23,599
1/6/23,533
1/7/23,583
1/8/23,530
1/9/23,455
1/10/23,533
1/11/23,590
1/12/23,533
1/13/23,456
1/14/23,455
1/15/23,566
1/16/23,602
1/17/23,409
1/18/23,490
1/19/23,502
1/20/23,600
1/21/23,503
1/22/23,460
1/23/23,455
1/24/23,590
1/25/23,555
1/26/23,450
1/27/23,488
1/28/23,499
1/29/23,506
1/30/23,505
1/31/23,533
2/1/23,400
2/2/23,550
2/3/23,389
2/4/23,409
2/5/23,600
2/6/23,511
2/7/23,499
2/8/23,589
2/9/23,444
2/10/23,390
2/11/23,400
2/12/23,412
2/13/23,501
2/14/23,499
2/15/23,433
2/16/23,400
2/17/23,399
2/18/23,405
2/19/23,398
2/20/23,409
2/21/23,590
2/22/23,390
2/23/23,409
2/24/23,509
2/25/23,389
2/26/23,400
2/27/23,360
2/28/23,350
3/1/23,366
3/2/23,500
3/3/23,420
3/4/23,390
3/5/23,396
3/6/23,401
3/7/23,400
3/8/23,405
3/9/23,504
3/10/23,533
3/11/23,480
3/12/23,399
3/13/23,400
3/14/23,492
3/15/23,330
3/16/23,389
3/17/23,566
3/18/23,546
3/19/23,499
3/20/23,405
3/21/23,309
3/22/23,399
3/23/23,350
3/24/23,300
3/25/23,345
3/26/23,500
3/27/23,478
3/28/23,499
3/29/23,503
3/30/23,500
3/31/23,533
4/1/23,502
4/2/23,496
4/3/23,544
4/4/23,502
4/5/23,505
4/6/23,400
4/7/23,399
4/8/23,355
4/9/23,399
4/10/23,355
4/11/23,503
4/12/23,504
4/13/23,588
4/14/23,454
4/15/23,430
4/16/23,387
4/17/23,389
4/18/23,350
4/19/23,533
4/20/23,403
4/21/23,405
4/22/23,333
4/23/23,359
4/24/23,500
4/25/23,533
4/26/23,490
4/27/23,488
4/28/23,455
4/29/23,409
4/30/23,433
5/1/23,405
5/2/23,490
5/3/23,433
5/4/23,489
5/5/23,488
5/6/23,400
5/7/23,500
5/8/23,521
5/9/23,309
5/10/23,483
5/11/23,499
5/12/23,544
5/13/23,450
5/14/23,544
5/15/23,590
5/16/23,309
5/17/23,544
5/18/23,489
5/19/23,403
5/20/23,490
5/21/23,455
5/22/23,509
5/23/23,523
5/24/23,533
5/25/23,590
5/26/23,533
5/27/23,534
5/28/23,490
5/29/23,533
5/30/23,523
5/31/23,409
6/1/23,489
6/2/23,466
6/3/23,409
6/4/23,400
6/5/23,389
6/6/23,400
6/7/23,377
6/8/23,456
6/9/23,553
6/10/23,430
6/11/23,356
6/12/23,598
6/13/23,330
6/14/23,403
6/15/23,544
6/16/23,646
6/17/23,433
6/18/23,344
6/19/23,266
6/20/23,485
6/21/23,300
6/22/23,345
6/23/23,366
6/24/23,402
6/25/23,433
6/26/23,290
6/27/23,355
6/28/23,300
6/29/23,400
6/30/23,533
7/1/23,400
7/2/23,533
7/3/23,400
7/4/23,540
7/5/23,489
7/6/23,504
7/7/23,389
7/8/23,443
7/9/23,502
7/10/23,409
7/11/23,455
7/12/23,553
7/13/23,359
7/14/23,533
7/15/23,355
7/16/23,344
7/17/23,444
7/18/23,390
7/19/23,380
7/20/23,300
7/21/23,485
7/22/23,450
7/23/23,509
7/24/23,340
7/25/23,440
7/26/23,500
7/27/23,454
7/28/23,580
7/29/23,590
7/30/23,454
7/31/23,346
8/1/23,409
8/2/23,409
8/3/23,389
8/4/23,358
8/5/23,459
8/6/23,502
8/7/23,500
8/8/23,409
8/9/23,403
8/10/23,533
8/11/23,500
8/12/23,502
8/13/23,450
8/14/23,340
8/15/23,450
8/16/23,380
8/17/23,390
8/18/23,430
8/19/23,530
8/20/23,450
8/21/23,444
8/22/23,409
8/23/23,300
8/24/23,389
8/25/23,320
8/26/23,311
8/27/23,300
8/28/23,344
8/29/23,304
8/30/23,400
8/31/23,430
9/1/23,490
9/2/23,390
9/3/23,366
9/4/23,403
9/5/23,433
9/6/23,475
9/7/23,305
9/8/23,390
9/9/23,444
9/10/23,334
9/11/23,533
9/12/23,500
9/13/23,422
9/14/23,300
9/15/23,340
9/16/23,300
9/17/23,340
9/18/23,400
9/19/23,403
9/20/23,498
9/21/23,433
9/22/23,390
9/23/23,355
9/24/23,343
9/25/23,355
9/26/23,402
9/27/23,503
9/28/23,430
9/29/23,454
9/30/23,366
10/1/23,454
10/2/23,464
10/3/23,500
10/4/23,346
10/5/23,455
10/6/23,450
10/7/23,422
10/8/23,401
10/9/23,399
10/10/23,455
10/11/23,450
10/12/23,455
10/13/23,490
10/14/23,504
10/15/23,544
10/16/23,390
10/17/23,454
10/18/23,378
10/19/23,458
10/20/23,344
10/21/23,300
10/22/23,299
10/23/23,504
10/24/23,488
10/25/23,466
10/26/23,390
10/27/23,357
10/28/23,356
10/29/23,454
10/30/23,456
10/31/23,563
11/1/23,459
11/2/23,444
11/3/23,456
11/4/23,399
11/5/23,356
11/6/23,400
11/7/23,454
11/8/23,486
11/9/23,501
11/10/23,439
11/11/23,349
11/12/23,466
11/13/23,486
11/14/23,454
11/15/23,447
11/16/23,453
11/17/23,464
11/18/23,458
11/19/23,434
11/20/23,490
11/21/23,454
11/22/23,466
11/23/23,459
11/24/23,446
11/25/23,533
11/26/23,465
11/27/23,444
11/28/23,309
11/29/23,380
11/30/23,500
12/1/23,544
12/2/23,503
12/3/23,454
12/4/23,503
12/5/23,500
12/6/23,400
12/7/23,488
12/8/23,463
12/9/23,364
12/10/23,454
12/11/23,408
12/12/23,466
12/13/23,503
12/14/23,346
12/15/23,463
12/16/23,364
12/17/23,346
12/18/23,586
12/19/23,436
12/20/23,503
12/21/23,436
12/22/23,464
12/23/23,308
12/24/23,387
12/25/23,374
12/26/23,463
12/27/23,356
12/28/23,680
12/29/23,588
12/30/23,599
12/31/23,520
1/1/24,
1/2/24,500
1/3/24,343
